Class	Air	Saline and alkaline	Soil and wetlands	Terrestrial, cave, and glacial	Deep subsurface and aquifer	Engineered	Freshwater	Marine	Hydrothermal vents and thermal springs	Human and mammals	Plants: rhizoplane	other host-associated
d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia	0	0	0	0	0	0	0	1	1	0	0	0
d__Bacteria;p__Zixibacteria	0	0	0	0	1	0	0	1	0	0	0	0
d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A	0	0	0	0	0	0	0	1	0	0	0	0
d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__Thermoplasmatota;c__E2	0	0	0	0	0	0	0	1	0	0	0	0
d__Archaea;p__Thermoproteota;c__Korarchaeia	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__Undinarchaeota;c__Undinarchaeia	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__EX4484-52;c__EX4484-52	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__Thermoplasmatota;c__JABDBI01	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea;p__Halobacteriota;c__Methanosarcinia_A	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota_D	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__SAR324	0	0	0	0	1	0	0	1	0	0	0	0
d__Bacteria;p__Latescibacterota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__CG03	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__UBA10199	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Goldbacteria	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Methylomirabilota	0	0	0	0	1	0	0	1	0	0	0	0
d__Bacteria;p__Bipolaricaulota	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Schekmanbacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Aerophobota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Dormibacterota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__CSP1-3	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Eisenbacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__Hydrogenedentota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Poribacteria	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota_B	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__SpSt-318	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__QNDG01	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__DTU030	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__Margulisbacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__FCPU426	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firestonebacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Magnetococcia	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__KSB1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Eremiobacterota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__SZUA-79	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_H	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Calescibacterota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota_C	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__AABM5-125-24	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bdellovibrionota_C	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__RBG-13-61-14	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__SZUA-182	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Abyssubacteria	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Nitrospinota_A	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Delongbacteria	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__DSWW01	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__CLD3	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Wallbacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__4572-55	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__J088	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Sumerlaeota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__OLB16	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__JABDJQ01	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__NPL-UPA2	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Chrysiogenetota	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__SpSt-956	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__UBP17	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Moduliflexota	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__Gemmatimonadota_A	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__GCA-001730085	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria;p__Lindowbacteria	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Nitrospinota_B	0	0	0	0	1	0	0	0	0	0	0	0
